CustomerID,Recency,Frequency,Monetary,Churn_Prob,KMeans_Cluster
CUST000002,1063,3,1389.9299999999998,0.0,2
CUST000003,1463,1,1116.91,1.0,2
CUST000004,196,3,2660.06,0.0,3
CUST000005,640,1,1089.56,1.0,0
CUST000006,249,4,2831.85,0.0,3
CUST000007,1546,1,450.53,1.0,2
CUST000008,53,3,4116.16,0.0,3
CUST000009,258,2,2120.69,0.0,0
CUST000010,41,2,1201.0,0.0,0
CUST000011,66,3,2852.02,0.0,3
CUST000014,374,2,3768.41,0.0,3
CUST000015,116,2,776.81,0.0,0
CUST000016,493,2,573.05,0.0,0
CUST000017,8,2,352.57,0.0,0
CUST000018,806,3,3240.99,0.0,3
CUST000019,880,1,1371.4,1.0,2
CUST000020,66,1,1394.52,1.0,0
CUST000021,365,2,2554.11,0.0,3
CUST000022,1069,3,3460.8,0.0,3
CUST000023,333,1,1707.39,1.0,0
CUST000024,965,1,841.88,1.0,2
CUST000025,574,1,266.01,1.0,0
CUST000026,570,2,2405.37,0.0,3
CUST000027,155,2,1713.44,0.0,0
CUST000029,1404,3,2454.3599999999997,0.0,2
CUST000030,471,4,968.95,0.0,3
CUST000031,261,4,4627.38,0.0,1
CUST000032,464,2,897.27,0.0,0
CUST000033,1242,2,722.64,0.0,2
CUST000037,400,2,3833.8599999999997,0.0,3
CUST000038,896,2,907.23,0.0,2
CUST000039,8,2,128.68,0.0,0
CUST000040,1350,1,191.74,1.0,2
CUST000041,637,3,1793.55,0.0,3
CUST000042,1072,2,1298.03,0.0,2
CUST000043,481,1,497.33,1.0,0
CUST000044,345,3,3636.77,0.0,3
CUST000046,236,4,2558.5299999999997,0.0,3
CUST000047,1281,2,1081.3899999999999,0.0,2
CUST000048,1109,1,1463.6,1.0,2
CUST000049,725,2,2925.89,0.0,3
CUST000050,338,2,2380.86,0.0,3
CUST000051,219,1,758.83,1.0,0
CUST000052,1709,1,895.66,1.0,2
CUST000053,906,3,1727.68,0.0,3
CUST000054,491,3,3251.9,0.0,3
CUST000055,620,2,4507.969999999999,0.0,3
CUST000056,455,2,3346.4300000000003,0.0,3
CUST000058,86,2,651.0300000000001,0.0,0
CUST000059,626,1,1035.29,1.0,0
CUST000061,707,1,2140.97,1.0,0
CUST000062,57,6,7146.65,0.0,1
CUST000063,408,3,1043.5900000000001,0.0,3
CUST000064,25,4,5024.780000000001,0.0,1
CUST000065,63,3,5306.8,0.0,1
CUST000066,249,1,881.45,1.0,0
CUST000067,400,2,1106.49,0.0,0
CUST000068,879,3,2133.56,0.0,3
CUST000069,224,5,9578.62,0.0,1
CUST000070,3,5,4382.66,0.0,1
CUST000071,648,2,3549.08,0.0,3
CUST000072,302,1,1823.97,1.0,0
CUST000073,641,2,364.29,0.0,0
CUST000074,209,1,936.42,1.0,0
CUST000075,1736,1,177.35,1.0,2
CUST000076,203,3,3722.78,0.0,3
CUST000077,1675,1,1397.38,1.0,2
CUST000078,1439,1,126.29,1.0,2
CUST000079,574,1,1401.0,1.0,0
CUST000080,1688,2,1546.23,0.0,2
CUST000081,1655,1,625.81,1.0,2
CUST000082,1187,2,3002.29,0.0,2
CUST000083,507,2,2052.1099999999997,0.0,0
CUST000084,1619,1,113.97,1.0,2
CUST000085,258,3,875.5799999999999,0.0,0
CUST000086,347,5,5106.34,0.0,1
CUST000087,1294,2,1926.6399999999999,0.0,2
CUST000088,1024,1,738.67,1.0,2
CUST000089,886,1,552.31,1.0,2
CUST000091,1480,1,944.65,1.0,2
CUST000092,188,2,2097.69,0.0,0
CUST000093,387,3,1959.58,0.0,3
CUST000094,566,1,680.74,1.0,0
CUST000095,936,2,2744.84,0.0,3
CUST000096,234,4,3768.67,0.0,1
CUST000097,1142,1,191.43,1.0,2
CUST000098,6,1,290.85,1.0,0
CUST000099,969,2,3654.03,0.0,3
CUST000100,788,2,2897.41,0.0,3
CUST000101,681,2,730.36,0.0,0
CUST000102,146,1,2009.63,1.0,0
CUST000103,1233,2,544.31,0.0,2
CUST000104,180,2,388.09000000000003,0.0,0
CUST000105,363,5,2138.8,0.0,3
CUST000107,266,2,1778.95,0.0,0
CUST000108,254,4,2228.13,0.0,3
CUST000109,350,2,1499.71,0.0,0
CUST000110,2,3,4204.21,0.0,3
CUST000112,346,3,3073.67,0.0,3
CUST000113,305,1,292.81,1.0,0
CUST000115,113,3,2479.67,0.0,3
CUST000116,506,2,2850.1099999999997,0.0,3
CUST000119,206,3,2942.56,0.0,3
CUST000120,1382,1,323.0,1.0,2
CUST000121,54,4,4097.08,0.0,1
