OrderDate,OrderCount,TotalRevenue,MonthNum,PredictedOrders
2020-01-01,1675,1581686.94,0,1618.9016393442623
2020-02-01,1450,1306693.36,1,1618.8100583495416
2020-03-01,1627,1533391.27,2,1618.7184773548208
2020-04-01,1643,1544906.16,3,1618.6268963601
2020-05-01,1629,1496363.49,4,1618.5353153653793
2020-06-01,1598,1470775.54,5,1618.4437343706586
2020-07-01,1635,1508463.43,6,1618.3521533759379
2020-08-01,1733,1592602.08,7,1618.2605723812171
2020-09-01,1622,1502002.98,8,1618.1689913864964
2020-10-01,1591,1456483.7,9,1618.0774103917756
2020-11-01,1590,1461353.71,10,1617.9858293970547
2020-12-01,1682,1529479.2,11,1617.894248402334
2021-01-01,1711,1517682.35,12,1617.8026674076132
2021-02-01,1472,1382996.59,13,1617.7110864128924
2021-03-01,1574,1426339.47,14,1617.6195054181717
2021-04-01,1540,1412748.97,15,1617.527924423451
2021-05-01,1665,1514581.31,16,1617.4363434287302
2021-06-01,1616,1552417.48,17,1617.3447624340095
2021-07-01,1664,1542777.2,18,1617.2531814392887
2021-08-01,1654,1501672.4,19,1617.161600444568
2021-09-01,1627,1498580.41,20,1617.0700194498472
2021-10-01,1624,1466382.51,21,1616.9784384551265
2021-11-01,1533,1370223.82,22,1616.8868574604057
2021-12-01,1609,1469237.23,23,1616.795276465685
2022-01-01,1689,1558296.34,24,1616.7036954709642
2022-02-01,1468,1327605.46,25,1616.6121144762435
2022-03-01,1647,1529080.32,26,1616.5205334815228
2022-04-01,1582,1466947.52,27,1616.428952486802
2022-05-01,1657,1479676.41,28,1616.337371492081
2022-06-01,1635,1482622.64,29,1616.2457904973603
2022-07-01,1649,1524781.64,30,1616.1542095026396
2022-08-01,1648,1470020.33,31,1616.0626285079188
2022-09-01,1583,1410417.97,32,1615.971047513198
2022-10-01,1585,1485407.57,33,1615.8794665184773
2022-11-01,1590,1476945.52,34,1615.7878855237566
2022-12-01,1702,1556107.47,35,1615.6963045290358
2023-01-01,1684,1529031.33,36,1615.604723534315
2023-02-01,1492,1343409.08,37,1615.5131425395944
2023-03-01,1636,1513005.17,38,1615.4215615448736
2023-04-01,1599,1525211.16,39,1615.3299805501529
2023-05-01,1667,1549512.39,40,1615.2383995554321
2023-06-01,1601,1437972.02,41,1615.1468185607114
2023-07-01,1662,1520892.81,42,1615.0552375659906
2023-08-01,1677,1534882.89,43,1614.96365657127
2023-09-01,1616,1492319.47,44,1614.8720755765492
2023-10-01,1605,1519578.17,45,1614.7804945818284
2023-11-01,1605,1473541.69,46,1614.6889135871077
2023-12-01,1673,1538133.23,47,1614.5973325923867
2024-01-01,1628,1453731.71,48,1614.505751597666
2024-02-01,1520,1368808.39,49,1614.4141706029452
2024-03-01,1682,1494347.1,50,1614.3225896082245
2024-04-01,1589,1452273.1,51,1614.2310086135037
2024-05-01,1695,1580387.87,52,1614.139427618783
2024-06-01,1622,1496594.78,53,1614.0478466240622
2024-07-01,1582,1428778.96,54,1613.9562656293415
2024-08-01,1676,1532867.69,55,1613.8646846346207
2024-09-01,1568,1427988.28,56,1613.7731036399
2024-10-01,1597,1475640.08,57,1613.6815226451793
2024-11-01,1574,1474776.73,58,1613.5899416504585
2024-12-01,1523,1403090.64,59,1613.4983606557378
