ProductName,TotalRevenue,TotalQuantity,UniqueOrders
LED Desk Lamp,1871843.46,6171,2040
Memory Card 128GB,1871091.77,6030,1971
Smartwatch,1847951.39,5826,1936
Mechanical Keyboard,1841525.13,5955,1968
Electric Kettle,1836737.7,5956,1984
Dress Shirt,1833004.57,5741,1932
Kids Toy Car,1831309.22,5946,1945
Water Bottle,1830567.28,6060,2019
Jeans,1822230.6,5844,1910
Noise Cancelling Headphones,1822030.47,5899,1973
Gaming Mouse,1817865.6,5920,1934
Smartphone Case,1816767.46,5885,1932
Cookware Set,1812089.1300000001,5933,1995
Smart Light Bulb,1811074.1,5947,1975
Router,1806301.02,6016,1997
Microphone,1805081.92,5991,1966
Laptop Sleeve,1804308.03,5868,1950
Phone Tripod,1801348.79,5767,1941
Board Game,1799348.75,6010,1978
Vacuum Cleaner,1799184.79,5946,1949
